date,item_code,wt,w_wt
2019-07-01,SAS367,11.449189001745118,10.618493858318198
2019-08-01,SAS367,11.490349273903064,10.656667749678473
2019-09-01,SAS367,11.494231284814015,10.660268101547027
2019-10-01,SAS367,11.507703973553792,10.672763280255015
2019-11-01,SAS367,11.556461008498063,10.717982751784977
2019-12-01,SAS367,11.681,10.6
2020-01-01,SAS367,11.6781747490471,10.597436207507856
2020-02-01,SAS367,11.653636832930086,10.57516911472125
2020-03-01,SAS367,11.70303709676842,10.61999770787991
2020-04-01,SAS367,11.790331068072753,10.699213194210357
2020-05-01,SAS367,11.83790233399556,10.742382051224462
2020-06-01,SAS367,11.74501038978068,10.658086647690713
2020-07-01,SAS367,11.72592975189516,10.64077179779888
2020-08-01,SAS367,11.73069228517684,10.645093589836016
2020-09-01,SAS367,11.745207856286795,10.65826583996576
2020-10-01,SAS367,11.767504382662915,10.678498968943318
2020-11-01,SAS367,11.788159617955243,10.697242697570893
2020-12-01,SAS367,11.773,10.704
2021-01-01,SAS367,11.685948234168237,10.624852620278334
2021-02-01,SAS367,11.66530610536832,10.606084817112247
2021-03-01,SAS367,11.619668266106238,10.56459093862237
2021-04-01,SAS367,11.55409591212524,10.50497261899164
2021-05-01,SAS367,11.472916119350241,10.431164031387496
2017-12-01,SAS4,5.926,6.079
2018-01-01,SAS4,5.933710980682231,6.086910066076152
2018-02-01,SAS4,5.987831693048441,6.142428090118371
2018-03-01,SAS4,5.987108225833785,6.141685944118052
2018-04-01,SAS4,5.9757287656032085,6.130012684121144
2018-05-01,SAS4,5.9792865419996355,6.133662316708704
2018-06-01,SAS4,5.98234073132613,6.136795360400193
2018-07-01,SAS4,5.967076867761764,6.121137407884537
2018-08-01,SAS4,5.936885964572824,6.090167023057407
2018-09-01,SAS4,5.945752537111105,6.099262516553898
2018-10-01,SAS4,5.970077703768394,6.124215720757352
2018-11-01,SAS4,5.990824555707338,6.1454982237841556
2018-12-01,SAS4,5.975,6.167
2019-01-01,SAS4,5.961761023580418,6.153335603752375
2019-02-01,SAS4,5.961705305065518,6.1532780947847785
2019-03-01,SAS4,5.935718558202655,6.1264562926252335
2019-04-01,SAS4,5.92508475179701,6.1154807806413665
2019-05-01,SAS4,5.935831010286101,6.126572358231696
2019-06-01,SAS4,5.93955836343765,6.130419485743931
2019-07-01,SAS4,5.9012968836133535,6.090928515689297
2019-08-01,SAS4,5.888725506741649,6.077953171560795
2019-09-01,SAS4,5.889938121388237,6.079204752234521
2019-10-01,SAS4,5.9102547930317435,6.100174277594438
2019-11-01,SAS4,5.9153089562103816,6.105390850702832
2019-12-01,SAS4,5.399,5.283
2020-01-01,SAS4,5.382961324375532,5.267305922703452
2020-02-01,SAS4,5.41731595773602,5.300922430953767
2020-03-01,SAS4,5.332044261798938,5.217482836651934
2020-04-01,SAS4,5.128258973401724,5.018075968972275
2020-05-01,SAS4,4.971802275389327,4.864980815129064
2020-06-01,SAS4,5.045338432753059,4.936937014305319
2020-07-01,SAS4,5.168525449197939,5.05747730100254
2020-08-01,SAS4,5.127319474711793,5.01715665584412
2020-09-01,SAS4,5.066277264067508,4.95742596519145
2020-10-01,SAS4,5.094119604140295,4.984670099772769
2020-11-01,SAS4,5.1891406517631555,5.077649576452075
2020-12-01,SAS4,5.142,5.059
2021-01-01,SAS4,5.093273666465569,5.011060186435106
2021-02-01,SAS4,5.095612853849528,5.013361615640755
2021-03-01,SAS4,5.11123362179535,5.0287302397243625
2021-04-01,SAS4,5.200559242064875,5.116614003424
2021-05-01,SAS4,5.265221059812456,5.18023207732229
2017-12-01,SASL2RS,30.205,28.766
2018-01-01,SASL2RS,30.17647899198496,28.738837764722376
2018-02-01,SASL2RS,30.2199557405345,28.78024323231966
2018-03-01,SASL2RS,30.168725671664806,28.731453821258395
2018-04-01,SASL2RS,30.049725974864597,28.618123403176792
2018-05-01,SASL2RS,30.02755923180525,28.59701270856182
2018-06-01,SASL2RS,30.122164064112525,28.687110460793278
2018-07-01,SASL2RS,30.123702701546595,28.68857579581822
2018-08-01,SASL2RS,30.100196552643236,28.666189506152467
2018-09-01,SASL2RS,30.09644947170568,28.66262094034383
2018-10-01,SASL2RS,30.046572349395102,28.615120019953633
2018-11-01,SASL2RS,30.153437798888962,28.71689427984903
2018-12-01,SASL2RS,30.325,28.872
2019-01-01,SASL2RS,30.33432037049523,28.880873791819894
2019-02-01,SASL2RS,30.263591692493765,28.813534026238415
2019-03-01,SASL2RS,30.123379024529655,28.680039544805283
2019-04-01,SASL2RS,29.996406242117217,28.559150569576534
2019-05-01,SASL2RS,29.978803825301995,28.542391559575243
2019-06-01,SASL2RS,30.10105859672214,28.658788583827256
2019-07-01,SASL2RS,30.08907299636055,28.64737726466354
2019-08-01,SASL2RS,30.15329058038627,28.708517910532972
2019-09-01,SASL2RS,30.15036237836106,28.705730011147256
2019-10-01,SASL2RS,30.190595335356704,28.744035235693943
2019-11-01,SASL2RS,30.263468153375705,28.81341640640605
2019-12-01,SASL2RS,29.696,27.595
2020-01-01,SASL2RS,29.710303542609058,27.60829156311614
2020-02-01,SASL2RS,29.724831026735913,27.621791223827366
2020-03-01,SASL2RS,29.727986027134982,27.62472300709825
2020-04-01,SASL2RS,29.718690150477908,27.616084816218944
2020-05-01,SASL2RS,29.657047873471654,27.5588037469171
2020-06-01,SASL2RS,29.66825752346615,27.569220311154645
2020-07-01,SASL2RS,29.74915335576217,27.644392741522665
2020-08-01,SASL2RS,29.67787037117819,27.578153047301388
2020-09-01,SASL2RS,29.642355041427994,27.545150436698727
2020-10-01,SASL2RS,29.642847793684503,27.545608326600345
2020-11-01,SASL2RS,29.7667953450849,27.66078655534812
2020-12-01,SASL2RS,29.711,27.643
2021-01-01,SASL2RS,29.606899505669777,27.54614530090639
2021-02-01,SASL2RS,29.59224937699221,27.532514877594014
2021-03-01,SASL2RS,29.487173765521284,27.434752933267305
2021-04-01,SASL2RS,29.435218595040386,27.386414042701404
2021-05-01,SASL2RS,29.370995558708703,27.32666117698444
2017-12-01,SASL5,55.749,53.285
2018-01-01,SASL5,55.62782380385489,53.169179561757296
2018-02-01,SASL5,55.60598681224443,53.14830772373395
2018-03-01,SASL5,55.60552046818399,53.14786199119597
2018-04-01,SASL5,55.47149935516979,53.01976435703281
2018-05-01,SASL5,55.46885046345451,53.0172325413043
2018-06-01,SASL5,55.5725047291915,53.116305485209935
2018-07-01,SASL5,55.66323801438217,53.20302853138807
2018-08-01,SASL5,55.7401989354175,53.276587925769455
2018-09-01,SASL5,55.73341843386886,53.27010710952129
2018-10-01,SASL5,55.697342873035375,53.23562602001273
2018-11-01,SASL5,55.92613802969249,53.454308864951194
2018-12-01,SASL5,56.235,53.781
2019-01-01,SASL5,56.263329367487366,53.80809312194964
2019-02-01,SASL5,56.18257476318323,53.730862511580995
2019-03-01,SASL5,56.01822154928435,53.57368139311926
2019-04-01,SASL5,55.86283527417329,53.42507591144863
2019-05-01,SASL5,55.85798626727861,53.420438506988724
2019-06-01,SASL5,56.07191612943225,53.62503283287981
2019-07-01,SASL5,56.07045696409227,53.62363734303985
2019-08-01,SASL5,56.147289417043076,53.69711695808649
2019-09-01,SASL5,56.19407999457017,53.74186567418828
2019-10-01,SASL5,56.13173183954265,53.682238286875496
2019-11-01,SASL5,56.24413375344138,53.78973517193617
2019-12-01,SASL5,55.292,52.384
2020-01-01,SASL5,55.29286318253579,52.384817784742005
2020-02-01,SASL5,55.32189645457696,52.41232409528611
2020-03-01,SASL5,55.390323611425934,52.47715242821631
2020-04-01,SASL5,55.51552645097026,52.595770411770715
2020-05-01,SASL5,55.49649874753169,52.57774344192108
2020-06-01,SASL5,55.396624963098766,52.483122369727376
2020-07-01,SASL5,55.39227716676271,52.47900323923348
2020-08-01,SASL5,55.2768765012403,52.36967189902648
2020-09-01,SASL5,55.22099944138482,52.31673360951859
2020-10-01,SASL5,55.24568174065873,52.34011778019726
2020-11-01,SASL5,55.409153137964026,52.49499164398299
2020-12-01,SASL5,55.372,52.502
2021-01-01,SASL5,55.15731048312919,52.298438109247435
2021-02-01,SASL5,55.03470901160775,52.18219122530215
2021-03-01,SASL5,54.85486718307571,52.0116708236264
2021-04-01,SASL5,54.72941527069813,51.89272124073889
2021-05-01,SASL5,54.58317241329101,51.75405833350077
2017-12-01,SASLE,59.254,55.411
2018-01-01,SASLE,59.16154778802064,55.32454390390543
2018-02-01,SASLE,59.11112388081138,55.277390308833816
2018-03-01,SASLE,59.144879571608016,55.308956727687104
2018-04-01,SASLE,59.02685741646611,55.19858906240597
2018-05-01,SASLE,58.97084918773895,55.14621332470049
2018-06-01,SASLE,59.015520373913255,55.18798729940439
2018-07-01,SASLE,59.114608175497544,55.280648624776305
2018-08-01,SASLE,59.161786091560174,55.324766751939805
2018-09-01,SASLE,59.21432639731628,55.37389948360772
2018-10-01,SASLE,59.23608569759302,55.39424755441535
2018-11-01,SASLE,59.52831865094546,55.66752733600329
2018-12-01,SASLE,59.809,55.967
2019-01-01,SASLE,59.86915029466708,56.02328637064041
2019-02-01,SASLE,59.82194018544529,55.97910893609351
2019-03-01,SASLE,59.65255420635124,55.82060394366834
2019-04-01,SASLE,59.50687292275349,55.6842809086884
2019-05-01,SASLE,59.51074401581868,55.68790333115959
2019-06-01,SASLE,59.674628767334895,55.84126048289442
2019-07-01,SASLE,59.693456126848204,55.85887841380585
2019-08-01,SASLE,59.829348963692944,55.98604179054997
2019-09-01,SASLE,59.916335835098536,56.06744081464261
2019-10-01,SASLE,59.94260253778019,56.0920202015072
2019-11-01,SASLE,60.103418656384825,56.24250584263054
2019-12-01,SASLE,59.387,55.083
2020-01-01,SASLE,59.39092575711359,55.08664124268085
2020-02-01,SASLE,59.45535879246891,55.14640457281164
2020-03-01,SASLE,59.582271371177846,55.26411931800881
2020-04-01,SASLE,59.77168504914492,55.43980547193914
2020-05-01,SASLE,59.77487872612832,55.44276769109951
2020-06-01,SASLE,59.607729650342,55.28773253960948
2020-07-01,SASLE,59.61487597979284,55.29436094759677
2020-08-01,SASLE,59.50368804984547,55.19123122652497
2020-09-01,SASLE,59.411310692048055,55.10554880445355
2020-10-01,SASLE,59.44504600939283,55.13683919604266
2020-11-01,SASLE,59.59544362958047,55.276336933136555
2020-12-01,SASLE,59.526,55.257
2021-01-01,SASLE,59.339150443891114,55.08355065144796
2021-02-01,SASLE,59.21512286509607,54.96841790405223
2021-03-01,SASLE,59.008944052601294,54.77702552690571
2021-04-01,SASLE,58.805475221179634,54.58814878030983
2021-05-01,SASLE,58.57958631329972,54.378459848032826
2017-12-01,SAT,16.537,18.684
2018-01-01,SAT,16.634942672565668,18.794658577385075
2018-02-01,SAT,16.722836037932442,18.893963145233705
2018-03-01,SAT,16.724214818559442,18.89552093305706
2018-04-01,SAT,16.889540274333815,19.082310605651152
2018-05-01,SAT,17.090239329345614,19.309066434631042
2018-06-01,SAT,17.10718972358249,19.328217499873936
2018-07-01,SAT,17.05503926345185,19.269296341436437
2018-08-01,SAT,17.001211539316277,19.20848015967741
2018-09-01,SAT,16.89652430875575,19.090201377806885
2018-10-01,SAT,16.9515292911499,19.152347661356036
2018-11-01,SAT,16.725024385436576,18.89643560606501
2018-12-01,SAT,16.348,18.485
2019-01-01,SAT,16.15965729258102,18.27203725552729
2019-02-01,SAT,16.22397982032312,18.344767982546667
2019-03-01,SAT,16.49633021742643,18.652719847634422
2019-04-01,SAT,16.826365044451734,19.02589661406229
2019-05-01,SAT,16.88855448205126,19.09621541477352
2019-06-01,SAT,16.703476383460227,18.88694402668597
2019-07-01,SAT,16.701595537955207,18.884817318271473
2019-08-01,SAT,16.52078549888954,18.68037190769349
2019-09-01,SAT,16.372244743518877,18.512414000730757
2019-10-01,SAT,16.42361646376147,18.570500999059874
2019-11-01,SAT,16.375906562810545,18.51655449067488
2019-12-01,SAT,15.738,17.482
2020-01-01,SAT,15.662287199750951,17.397897116917402
2020-02-01,SAT,15.581084642670229,17.307696131856712
2020-03-01,SAT,15.320613440171996,17.01836092013514
2020-04-01,SAT,14.65791282585396,16.282223409682228
2020-05-01,SAT,14.48262702384897,16.087513383589254
2020-06-01,SAT,14.719095895927262,16.350186456512922
2020-07-01,SAT,15.031116408699136,16.696783394133835
2020-08-01,SAT,15.104775383735753,16.778604858207423
2020-09-01,SAT,15.108287783368079,16.782506482961033
2020-10-01,SAT,15.129660434023615,16.806247535112522
2020-11-01,SAT,15.119672230649396,16.795152493087603
2020-12-01,SAT,15.16,16.853
2021-01-01,SAT,15.249368878694726,16.952349189488274
2021-02-01,SAT,15.418806347102931,17.14070866541726
2021-03-01,SAT,15.80155531668513,17.566201302908606
2021-04-01,SAT,16.16567321480533,17.9709822354297
2021-05-01,SAT,16.55176632303693,18.400192469798245
2017-12-01,SAT1,15.384,17.807
2018-01-01,SAT1,15.485940857469009,17.924996675048792
2018-02-01,SAT1,15.551753018239925,18.00117433670036
2018-03-01,SAT1,15.54786407681639,17.996672881946793
2018-04-01,SAT1,15.700005441966113,18.17277670989928
2018-05-01,SAT1,15.888372679032118,18.390812031690388
2018-06-01,SAT1,15.915640243672579,18.422374273210973
2018-07-01,SAT1,15.897530200866708,18.401411875119177
2018-08-01,SAT1,15.87099534116699,18.370697740520054
2018-09-01,SAT1,15.763759017767043,18.246571556771823
2018-10-01,SAT1,15.802281477376319,18.29116135385076
2018-11-01,SAT1,15.578296532447492,18.031898488903565
2018-12-01,SAT1,15.235,17.631
2019-01-01,SAT1,15.050313546896405,17.41726801085202
2019-02-01,SAT1,15.090297277114235,17.463539960144473
2019-03-01,SAT1,15.362922319216006,17.77904059140777
2019-04-01,SAT1,15.673088396933762,18.137986316136477
2019-05-01,SAT1,15.696120304734562,18.164640439302598
2019-06-01,SAT1,15.51757238170849,17.958012383452733
2019-07-01,SAT1,15.556086951557267,18.002584118339755
2019-08-01,SAT1,15.392817219945483,17.81363704659395
